strategy,CAGR_gross,CAGR_net,vol,Sharpe,Sortino,Calmar,MaxDD,time_in_mkt,n_trades,pct_LT_trades,trade_win_rate,final_gross,final_net
STRAT1 [raw],0.12027264865066867,0.08283009623478255,0.49747862290057815,0.43993784123163554,0.5055246763121437,0.12647885009970988,-0.9509309149778912,0.7148694002626587,93,0.07526881720430108,0.12903225806451613,2205972.756102863,873899.1125717906
STRAT1 [5/3],0.15175903491719134,0.11340489798515119,0.4854101891205351,0.4966095775577901,0.5551068843864346,0.1684273935040249,-0.901035346803991,0.6626295053261345,17,0.4117647058823529,0.5882352941176471,4693522.3339863,1865760.3193178028
STRAT1 [8/5],0.11966522154063086,0.0901394963528579,0.49400076201186843,0.43967796849878005,0.48830046324196297,0.13539875056686673,-0.883798565641373,0.6671530716474536,13,0.6153846153846154,0.46153846153846156,2173622.8127452526,1049655.2155201007
STRAT2 [raw],0.1160619920250674,0.08340012415502063,0.45503993182878083,0.428585260756993,0.4812997655426928,0.13235263874189157,-0.8769148324379578,0.6689041295782869,85,0.058823529411764705,0.18823529411764706,1990917.6106861003,886517.0580357575
STRAT2 [5/3],0.10144728795030478,0.06807215394796473,0.4502242438918045,0.40006739183100537,0.43400959756332236,0.11392111800194542,-0.8905046731420979,0.6246899168247483,24,0.25,0.5,1390341.8638770408,601346.8854707367
STRAT2 [8/5],0.07574597007942585,0.051523218153707084,0.46166495716129025,0.3507567709242144,0.3801338117607701,0.08741128016747748,-0.8665468568164059,0.6334452064789143,22,0.2727272727272727,0.45454545454545453,730826.7240572039,393005.34946152737
