strategy,CAGR_gross,CAGR_net,vol,Sharpe,Sortino,Calmar,MaxDD,time_in_mkt,n_trades,pct_LT_trades,trade_win_rate,final_gross,final_net
BH_QQQ,0.19624522881013573,0.19624522881013573,0.2060600541757032,0.9049929194048945,1.1650939017534745,0.5588053146484718,-0.3511871194954327,0.9997563352826511,0,,,1859576.2541653397,1859576.2541653397
BH_TQQQ,0.43316199840795977,0.43316199840795977,0.6100411033065761,0.8761862507192083,1.1263035210709926,0.5304467401994005,-0.8165984736660454,0.9997563352826511,0,,,35441188.81238638,35441188.81238638
STRAT1_200dMA,0.3218238604004009,0.2576453938455512,0.4520995363881922,0.8158407237571252,0.9600461285058737,0.5766612022172748,-0.5580813468341224,0.8050682261208577,43,0.09302325581395349,0.18604651162790697,9475434.281175008,4207329.426351896
STRAT2_MA+Mom,0.29410250422552564,0.23499028547529321,0.44191842677173276,0.7762141381978863,0.9024554773246903,0.526988593856266,-0.5580813468341231,0.7741228070175439,45,0.08888888888888889,0.17777777777777778,6705753.449632198,3127719.985528699
VOLTGT_gross,0.36473010978801756,0.36473010978801756,0.3998628263848916,0.9452447039174313,1.2504597128131154,0.6960142704881783,-0.5240267696410866,0.9951267056530214,0,,,15955122.175981265,15955122.175981265
