strategy,CAGR_gross,CAGR_net,vol,Sharpe,Sortino,Calmar,MaxDD,time_in_mkt,n_trades,pct_LT_trades,trade_win_rate,final_gross,final_net
BH_QQQ,0.1080622579556243,0.1080622579556243,0.2693907245253324,0.4424311843892061,0.5844232029944022,0.13025213798080887,-0.8296390341903334,0.9998540785057639,0,,,1636646.1413733354,1636646.1413733354
BH_TQQQ,0.030986705096941014,0.030986705096941014,0.8044823503152899,0.4166216534862768,0.5496040496544049,0.030993571960874506,-0.999778442318873,0.9998540785057639,0,,,229654.8604112817,229654.8604112817
STRAT1_200dMA,0.12027264865066867,0.08283009623478255,0.49747862290057815,0.43993784123163554,0.5055246763121437,0.12647885009970988,-0.9509309149778912,0.7148694002626587,93,0.07526881720430108,0.12903225806451613,2205972.756102863,873899.1125717906
STRAT2_MA+Mom,0.1160619920250674,0.08340012415502063,0.45503993182878083,0.428585260756993,0.4812997655426928,0.13235263874189157,-0.8769148324379578,0.6689041295782869,85,0.058823529411764705,0.18823529411764706,1990917.6106861003,886517.0580357575
VOLTGT_gross,0.20584100420279916,0.20584100420279916,0.4061275090607513,0.6172134689594589,0.8687337546628208,0.24656111502394248,-0.8348477990246387,0.997081570115278,0,,,16380482.177430663,16380482.177430663
