strategy,CAGR_gross,CAGR_net,vol,Sharpe,Sortino,Calmar,MaxDD,time_in_mkt,n_trades,pct_LT_trades,trade_win_rate,final_gross,final_net
STRAT1 [raw],0.3218238604004009,0.2576453938455512,0.4520995363881922,0.8158407237571252,0.9600461285058737,0.5766612022172748,-0.5580813468341224,0.8050682261208577,43,0.09302325581395349,0.18604651162790697,9475434.281175008,4207329.426351896
STRAT1 [5/3],0.30321398383647113,0.24917302844031108,0.4449705365886763,0.7907383091813348,0.8959385102959617,0.4597664348509537,-0.6594956935792117,0.7541423001949318,9,0.4444444444444444,0.7777777777777778,7518850.917651686,3768084.000530824
STRAT1 [8/5],0.24803435814551267,0.2040299326148045,0.4474135172932099,0.6923981598111476,0.7713764513001846,0.37997443561342414,-0.6527659097515082,0.7419590643274854,7,0.5714285714285714,0.5714285714285714,3712445.1695366893,2067122.82557103
STRAT2 [raw],0.29410250422552564,0.23499028547529321,0.44191842677173276,0.7762141381978863,0.9024554773246903,0.526988593856266,-0.5580813468341231,0.7741228070175439,45,0.08888888888888889,0.17777777777777778,6705753.449632198,3127719.985528699
STRAT2 [5/3],0.2748423261083077,0.22252628447928124,0.43735503917085544,0.7463774242261123,0.8344376259449092,0.4167462028700823,-0.6594956935792116,0.7261208576998051,12,0.3333333333333333,0.5833333333333334,5250730.990509838,2650742.3434223686
STRAT2 [8/5],0.21885952527842023,0.1761344430474201,0.443876080803968,0.640947472867169,0.7118436031535257,0.33528026204943,-0.6527659097515082,0.723196881091618,10,0.4,0.4,2523989.547002332,1410275.0040867007
